T_amb_set,mode,actual_charge,total_charge,P_suc[bar],T_suc[degC],P_dis[bar],T_dis[degC],P_gc_mid[bar],T_gc_mid[degC],P_gc_out[bar],T_gc_out[degC],P_eva_in[bar],T_eva_in[degC],P_eva_out[bar],T_eva_out[degC],W_comp[kW],Q_s1[kW],Q_s2[kW],Q_total[kW],COP,m_dot[kg/s],T_air_in[degC],T_mid[degC],T_air_out[degC],V_air_indoor[kg/min],T_amb[degC],V_air_outdoor[m/s],h_suc[kJ/kg],h_dis[kJ/kg],h_gc_mid[kJ/kg],h_gc_out[kJ/kg],h_eva_in[kJ/kg],h_eva_out[kJ/kg],acc_charge
50,1,361.718,550,44.76744297762111,24.02332093982909,100.9104515261808,99.99450334490882,59.38827649497022,22.22396245478211,74.48116719431022,34.14091535684241,98.462339253687,61.91161324686266,100.8682552160898,99.97293979635282,4.689267115104877,8.33403859994528,1.200335946653541,9.534374546598825,2.033233405682326,0.0867425050014209,35,29.99147973019848,24.85222474774445,9,50,3.0,451.6342767572033,505.1533034889974,409.07539335937,395.2374721852712,434.7983427007067,505.1542689128439,188.282
50,1,361.564,600,44.74394727321454,24.02972469433024,100.9190794173889,100.0773643359361,59.34996297994864,22.19322468371302,74.42464857942714,34.09025393094066,98.4751025132344,61.91488000705573,100.8769456373275,100.0558483001195,4.69009227473776,8.331636679204934,1.204777323206844,9.536414002411778,2.033310528617477,0.0866503325468972,35,29.96233615669036,24.82425630868443,9,50,3.0,451.6867445173255,505.2721286181583,409.1197373426182,395.2158400603453,434.7849732122637,505.2730989340353,238.436
50,1,361.388,650,44.71682642835467,24.03717378122587,100.9293773492006,100.1735099285076,59.3057114558294,22.15765557863693,74.359337727338,34.0315874263535,98.49017996118154,61.91871936706798,100.8873158387332,100.1520511138365,4.691059549733726,8.328899433546209,1.209918019944805,9.538817453491012,2.033403616467084,0.0865438987565753,35,29.92860137172556,24.79188449863722,9,50,3.0,451.747347748319,505.4096973877677,409.1706839713146,395.1902874635495,434.7691257472504,505.4106768080857,288.612
50,1,361.265,700,44.69802563333941,24.04225235063529,100.9361745917732,100.2397139627196,59.27510109232245,22.13312689538889,74.31423859018076,33.99109976182257,98.5002706450408,61.92124286296348,100.8941629017168,100.2182906125304,4.69171031053622,8.326954952132134,1.213461893097372,9.540416845229506,2.033462471841985,0.0864703833759049,35,29.90532336061636,24.7695634521458,9,50,3.0,451.7891869911063,505.5046098456455,409.2062632090508,395.1729971852123,434.7583928213148,505.5055896019525,338.735
50,1,365.297,750,39.79648785183618,27.55210323942191,114.617426398912,134.5924248583264,50.61453092794459,14.83953272742349,61.06480325580203,22.79450575257175,113.2069596712138,64.72907037913586,114.5910777105236,134.5814726074386,5.288109320358196,8.579030276921749,2.693637372421311,11.27266764934306,2.131700947623279,0.0651716310028891,35,23.68955695044929,18.77680075518742,9,50,3.0,464.9551239703289,545.2849875412212,413.6474921324991,372.3160518881711,416.9611709225578,545.2849875410691,384.703
50,1,405.209,800,37.44960436024055,28.92167884547313,133.9202634877101,164.1518032371928,46.35828535023456,11.23106205459368,54.57426674331693,17.99378164596163,132.9726453192058,66.98822867350748,133.9014626876507,164.1454613283552,5.844739167071952,8.834539411190805,3.825765984515074,12.66030539570588,2.166102717984647,0.0551593185221004,35,21.11392042807915,15.77735335292346,9,50,3.0,470.1395341266522,575.0409710993165,414.8769290499008,345.5184582235757,392.3189481717858,575.0409710993166,394.791
50,1,465.429,850,45.09534397072606,30.39103325572319,133.6720580972556,133.4741594269302,49.17519388398941,13.64594973185683,53.19202840501505,16.91345375284919,133.2434394158047,60.19301436251715,133.663586121137,133.4708578394042,3.129693116291437,4.79517044555892,3.357771955193472,8.152942400752393,2.605029342433838,0.0385489083239563,35,21.61464830753562,17.34291069535237,9,50,3.0,461.0397488532374,532.912316213972,408.5204552237362,321.4162517278677,364.8117013979069,532.9123162139722,384.571
50,1,513.982,900,45.03594408181461,28.43039997298888,151.7288692532953,144.027705926081,48.47081644012721,13.05212361941881,51.78092207570073,15.78787526074177,151.4041235315183,59.57043098172658,151.7223025718075,144.0254357434822,3.281042080577467,4.704427238020052,3.577330978981192,8.281758217001245,2.524124352450745,0.0350977618727037,35,21.08564886591705,16.68657905877103,9,50,3.0,458.1543429045645,538.6774617089657,404.6396488397986,302.7148881682825,344.7042544239868,538.6774617089657,386.018
-10,0,199.762097,200,0.1576283898238523,-34.04844395142342,27.6320304708945,406.6875331688863,27.62252010177729,-7.820796687573988,27.61923599995087,-8.47505138547501,0.3422969821837021,-9.422702362132384,0.236696770178756,-10.02771168822659,0.3207923718557949,0.1990559842923541,0.0649072014448176,0.2639631857371718,0.8228474517961125,0.0002823577735646,-10,-9.163098186951345,-6.596631192760242,6,-10,2.5,459.4645741649937,1141.136697739151,436.1588188610024,206.2830813334177,478.8150050458579,478.4565776967767,0.237903
-10,0,249.718606,250,0.1889707613989852,-37.30821982525603,27.85960534001578,438.6827874317628,27.8488427209725,-8.180672284323235,27.84514185192941,-8.185402903121712,0.3909099364139897,-9.380089221821038,0.2798668223986758,-10.02905791221571,0.3152398051620303,0.2234708513429866,0.0440880144564111,0.2675588657993977,0.8487470852923379,0.0002959662642196,-10,-9.340815215542818,-5.999768110403068,6,-10,2.5,456.8702879887611,1095.942729558761,340.8875818642208,191.9246094367689,478.7891931360069,478.4016490266333,0.281394
